date,playweek,time,playfield,class,team_a,team_b,team_ref
05-02-2019,17,19.15,1,1H,De Graaf Assurantien,Young Munter,Jonika
05-02-2019,17,19.15,2,,,,
05-02-2019,17,19.15,3,2H,Klaas Vaak,CZ,Dr.Eamteam
05-02-2019,17,19.15,4,1H,Fysio For You,Sport2000 / t Zand,Neele-Vat Logistics
05-02-2019,17,19.15,5,,,,
05-02-2019,17,19.15,6,2D,Camp. sh Clarijs/SVS,Jumbo,2J2T / SVS
05-02-2019,17,20.15,1,1H,Jonika,Neele-Vat Logistics,Fysio For You
05-02-2019,17,20.15,2,,,,
05-02-2019,17,20.15,3,2H,CZ,Dr.Eamteam,Klaas Vaak
05-02-2019,17,20.15,4,,,,
05-02-2019,17,20.15,5,,,,
05-02-2019,17,20.15,6,2D,2J2T / SVS,t Ken Net 2,Jumbo
05-02-2019,17,21.15,1,1H,Koperarm,VNLS,Neele-Vat Logistics
05-02-2019,17,21.15,2,,,,
05-02-2019,17,21.15,3,2H,Provincie Zeeland,Bowling d Kruitmolen,CZ
05-02-2019,17,21.15,4,,,,
05-02-2019,17,21.15,5,,,,
05-02-2019,17,21.15,6,2D,Kookbrd Krommenhoeke,BowldeKruitmolen/MZ2,t Ken Net 2
12-02-2019,18,19.15,1,1H,VNLS,Neele-Vat Logistics,Jonika
12-02-2019,18,19.15,2,,,,
12-02-2019,18,19.15,3,2H,Eastman,SMA Zeeland,Mellow Munter
12-02-2019,18,19.15,4,1D,V.N.L.S.,BowldeKruitmolen/MZ1,t Ken Net 1
12-02-2019,18,19.15,5,,,,
12-02-2019,18,19.15,6,2H,Bowling d Kruitmolen,Klaas Vaak,CZ
12-02-2019,18,20.15,1,1H,Koperarm,Jonika,VNLS
12-02-2019,18,20.15,2,,,,
12-02-2019,18,20.15,3,2H,Mellow Munter,Klaas Vaak,Eastman
12-02-2019,18,20.15,4,1D,t Ken Net 1,Restaur. Valkenisse,BowldeKruitmolen/MZ1
12-02-2019,18,20.15,5,,,,
12-02-2019,18,20.15,6,2H,CZ,Eastman,Bowling d Kruitmolen
12-02-2019,18,21.15,1,1H,De Graaf Assurantien,Fysio For You,Koperarm
12-02-2019,18,21.15,2,,,,
12-02-2019,18,21.15,3,2H,Provincie Zeeland,Mellow Munter,Klaas Vaak
12-02-2019,18,21.15,4,1D,Vlijtig Liesje,Kraamzorg Post,Restaur. Valkenisse
12-02-2019,18,21.15,5,,,,
12-02-2019,18,21.15,6,2D,2D,,
19-02-2019,19,19.15,1,1H,Young Munter,Sport2000 / t Zand,Koperarm
19-02-2019,19,19.15,2,,,,
19-02-2019,19,19.15,3,2H,Dr.Eamteam,SMA Zeeland,Provincie Zeeland
19-02-2019,19,19.15,4,1D,Sneakers,Restaur. Valkenisse,Vlijtig Liesje
19-02-2019,19,19.15,5,,,,
19-02-2019,19,19.15,6,2D,Camp. sh Clarijs/SVS,VV Jong Ambon,Kookbrd Krommenhoeke
19-02-2019,19,20.15,1,1H,Koperarm,De Graaf Assurantien,Sport2000 / t Zand
19-02-2019,19,20.15,2,,,,
19-02-2019,19,20.15,3,2H,Provincie Zeeland,Klaas Vaak,Dr.Eamteam
19-02-2019,19,20.15,4,1D,Vlijtig Liesje,V.N.L.S. ,Sneakers
19-02-2019,19,20.15,5,,,,
19-02-2019,19,20.15,6,2D,Kookbrd Krommenhoeke,2J2T / SVS,VV Jong Ambon
19-02-2019,19,21.15,1,1H,VNLS,Jonika,De Graaf Assurantien
19-02-2019,19,21.15,2,,,,
19-02-2019,19,21.15,3,2H,Bowling d Kruitmolen,Mellow Munter,Klaas Vaak
19-02-2019,19,21.15,4,1D,Kraamzorg Post,BowldeKruitmolen/MZ1,V.N.L.S.
19-02-2019,19,21.15,5,,,,
19-02-2019,19,21.15,6,2D,t Ken Net 2,BowldeKruitmolen/MZ2,2J2T / SVS